"objectid","common_name","longitude","latitude"
310,"Yoshino Cherry",-77.0674551211569,38.9258215204468
311,"Kwanzan Cherry",-77.0611354304557,38.9258790473802
312,"Yoshino Cherry",-77.059993974942,38.9261769136337
313,"Cherry Spp.",-77.0580312414486,38.9234483831364
314,"Chokecherry",-77.0586563404177,38.9263307336765
315,"Snowgoose Cherry",-77.0726104191355,38.9261427304027
316,"Chokecherry",-77.0589908927155,38.9264656904393
317,"Chokecherry",-77.0575702093976,38.9237548936735
318,"Snowgoose Cherry",-77.0611700507572,38.9259060540213
319,"Kwanzan Cherry",-77.0598544900926,38.9248707787635
320,"Higan Cherry",-77.0663015247955,38.9254348227589
321,"Cherry Spp.",-77.0768082188242,38.9261400468258
322,"Kwanzan Cherry",-77.0589209461447,38.9255558849961
323,"Kwanzan Cherry",-77.0601793153231,38.9271497165862
324,"Kwanzan Cherry",-77.0685749560693,38.9270640165911
325,"Snowgoose Cherry",-77.0311968592476,38.9247107848749
326,"Kwanzan Cherry",-76.9908228104243,38.9235525156361
327,"Kwanzan Cherry",-77.0565204091895,38.923268956697
328,"Okame Cherry",-77.0622070374248,38.9248425247628
329,"Kwanzan Cherry",-77.0588493807942,38.9226822659738
330,"Chokecherry",-76.9650498683567,38.9213406105808
331,"Cherry Spp.",-77.0573967940268,38.9232144802641
332,"Chokecherry",-76.9640466107625,38.9213493151189
333,"Snowgoose Cherry",-77.0563359051778,38.9232780542389
334,"Okame Cherry",-76.9997139848125,38.9234898176011
335,"Chokecherry",-76.9985146444353,38.924138406862
336,"Kwanzan Cherry",-76.9874330686811,38.9197687035628
337,"Yoshino Cherry",-76.9871446543023,38.9204893384123
338,"Okame Cherry",-77.0758896989504,38.9191321688146
339,"Kwanzan Cherry",-77.074126002513,38.9197008263321
340,"Kwanzan Cherry",-77.0721308286747,38.9194588502458
341,"Chokecherry",-77.075558861752,38.9225014986453
342,"Chokecherry",-77.079698052623,38.921841140856
343,"Chokecherry",-76.9820017723638,38.9198130356431
344,"Kwanzan Cherry",-76.9923682378039,38.9222554279457
345,"Okame Cherry",-77.0584540774937,38.9187548339685
346,"Okame Cherry",-76.9880555515225,38.9210389428929
347,"Kwanzan Cherry",-77.0710643613312,38.9138563185143
348,"Snowgoose Cherry",-77.0778629257334,38.9203920371629
349,"Yoshino Cherry",-77.0742055133737,38.9185387008005
350,"Kwanzan Cherry",-77.0746445372156,38.9193401631181
351,"Okame Cherry",-76.9866142692331,38.920146962912
352,"Chokecherry",-76.9636431730939,38.9210158815777
353,"Cherry Spp.",-77.0132628613919,38.9169580271912
354,"Kwanzan Cherry",-76.9720985396159,38.9140907987514
355,"Yoshino Cherry",-77.0713639632763,38.9136669608616
356,"Cherry Spp.",-76.9721101579574,38.9138655932226
357,"Chokecherry",-77.0228785206272,38.9133982479308
358,"Snowgoose Cherry",-77.028148826607,38.9157572811736
359,"Chokecherry",-77.0006364688979,38.9150309949845
360,"Chokecherry",-77.0570870036623,38.9107741224279
361,"Kwanzan Cherry",-76.9374732720738,38.9132396255084
362,"Kwanzan Cherry",-77.0114752330955,38.9148862994632
363,"Kwanzan Cherry",-76.938615061236,38.9129069222167
364,"Kwanzan Cherry",-76.9376462656626,38.9131946764932
365,"Yoshino Cherry",-76.9443647993959,38.9030907015747
366,"Yoshino Cherry",-76.9378077299427,38.9131497211827
367,"Yoshino Cherry",-76.9420076007701,38.9096656522481
368,"Kwanzan Cherry",-77.0526933199407,38.9097222097122
369,"Chokecherry",-76.949034570489,38.9021829879546
370,"Cherry Spp.",-76.9371460051839,38.9051679709252
371,"Cherry Spp.",-76.976149121185,38.903966315693
372,"Cherry Spp.",-76.9431282135961,38.9068736143259
373,"Cherry Spp.",-76.976149621208,38.9024709283907
374,"Yoshino Cherry",-76.9433495232619,38.9040360904932
375,"Chokecherry",-76.9797807580755,38.9037778249867
376,"Cherry Spp.",-76.9762878479058,38.9028222827222
377,"Kwanzan Cherry",-76.939258847218,38.9016107871082
378,"Chokecherry",-76.9335424388324,38.8997789787169
379,"Snowgoose Cherry",-76.9432485950466,38.9004777402555
380,"Kwanzan Cherry",-76.9187753639918,38.8993372434191
381,"Yoshino Cherry",-76.9985151795319,38.8984105828821
382,"Chokecherry",-76.9935696439239,38.898968934169
383,"Kwanzan Cherry",-76.9456523776551,38.8927316870178
384,"Cherry Spp.",-76.9775232528958,38.8969851088758
385,"Yoshino Cherry",-76.9425480258707,38.8971803364034
386,"Cherry Spp.",-76.9166452792562,38.8971016682075
387,"Snowgoose Cherry",-76.9781798829952,38.8984535965563
388,"Snowgoose Cherry",-76.9977313160473,38.8972755161522
389,"Chokecherry",-76.919089350593,38.8969322269407
390,"Cherry Spp.",-76.9151043278025,38.8939386194718
391,"Yoshino Cherry",-76.916832852654,38.8944173070132
392,"Yoshino Cherry",-76.9370266372695,38.8967270726963
393,"Kwanzan Cherry",-76.9391352318054,38.897863244693
394,"Chokecherry",-76.9385159658391,38.8941064302676
395,"Kwanzan Cherry",-76.9497549688167,38.8941928802972
396,"Kwanzan Cherry",-76.9468850774843,38.8936601165212
397,"Cherry Spp.",-76.9921520030125,38.8961762541309
398,"Kwanzan Cherry",-76.9332941935721,38.8940314978554
399,"Chokecherry",-77.0260778300278,38.8966330332879
400,"Cherry Spp.",-76.9837139439433,38.895616864127
401,"Kwanzan Cherry",-76.9396115334455,38.8935394742673
402,"Yoshino Cherry",-76.9744111012913,38.8960656150361
403,"Snowgoose Cherry",-76.9780775986023,38.8936791434778
404,"Chokecherry",-76.9219747525328,38.8937542350699
405,"Cherry Spp.",-76.9607295657169,38.8930169879437
406,"Yoshino Cherry",-76.994388675397,38.8920775750201
407,"Chokecherry",-76.9218507657002,38.8911867650572
408,"Cherry Spp.",-76.9880257398959,38.8925455318509
409,"Chokecherry",-76.9185747783033,38.8932744710401
410,"Kwanzan Cherry",-76.9509433716393,38.8925989039163
411,"Kwanzan Cherry",-76.9195903620056,38.892212185544
412,"Cherry Spp.",-76.9473012801299,38.8920027649157
413,"Snowgoose Cherry",-76.9194169493327,38.8926624850857
414,"Snowgoose Cherry",-76.9489043513547,38.8908413966132
